Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2020-2024,DIA,Broad Index,Core,-2.5,1,31,0.89,0.05,0.84,61.29,11.02,-10.06,2.72,-2.01,0.418
2020-2024,DIA,Broad Index,Core,-2.0,1,45,0.62,0.05,0.57,57.78,11.02,-10.06,2.23,-1.58,0.363
2020-2024,SPY,Broad Index,Core,-2.0,1,58,0.52,0.06,0.46,55.17,9.06,-9.57,2.03,-1.34,0.34
2020-2024,SPY,Broad Index,Core,-2.5,1,37,0.6,0.06,0.54,56.76,9.06,-9.57,2.34,-1.69,0.319
2020-2024,TLT,Bonds,Expanded Addition,-2.0,1,41,0.33,-0.02,0.35,58.54,6.48,-5.64,1.46,-1.25,0.282
2020-2024,QQQ,Broad Index,Core,-3.0,1,42,0.55,0.08,0.46,59.52,8.47,-9.17,2.07,-1.69,0.275
2020-2024,TLT,Bonds,Expanded Addition,-2.0,3,41,0.42,-0.06,0.49,56.1,15.0,-6.23,2.16,-1.79,0.272
2020-2024,QQQ,Broad Index,Core,-2.5,1,69,0.44,0.08,0.36,57.97,8.47,-9.17,1.75,-1.36,0.263
2020-2024,XLV,Sector,Core,-2.0,1,36,0.55,0.04,0.51,58.33,7.71,-7.47,2.35,-1.96,0.262
2020-2024,XLY,Sector,Expanded Addition,-3.0,1,44,0.48,0.06,0.42,59.09,7.31,-10.11,1.95,-1.65,0.253
2020-2024,SLV,Commodities,Expanded Addition,-3.0,5,63,1.12,0.29,0.83,61.9,23.53,-22.57,4.1,-3.73,0.222
2020-2024,SOXX,Semiconductors,Expanded Addition,-3.0,1,95,0.61,0.1,0.51,60.0,10.73,-10.96,2.56,-2.3,0.221
2020-2024,XLY,Sector,Expanded Addition,-2.5,1,65,0.37,0.06,0.31,58.46,7.31,-10.11,1.69,-1.48,0.211
2020-2024,XLK,Sector,Core,-2.5,1,74,0.45,0.09,0.36,55.41,11.73,-9.76,2.19,-1.72,0.206
2020-2024,SMH,Semiconductors,Expanded Addition,-3.0,1,94,0.55,0.13,0.43,61.7,9.7,-10.56,2.21,-2.12,0.201
2020-2024,XLU,Sector,Expanded Addition,-2.5,5,37,1.23,0.18,1.05,62.16,28.51,-19.45,5.27,-5.39,0.195
2020-2024,XLK,Sector,Core,-3.0,1,44,0.46,0.09,0.37,56.82,11.73,-9.76,2.3,-1.96,0.189
2020-2024,XLV,Sector,Core,-2.5,1,25,0.43,0.04,0.39,56.0,7.71,-7.47,2.39,-2.08,0.187
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.5,1,137,0.52,0.1,0.42,59.85,10.73,-10.96,2.38,-2.25,0.185
2020-2024,SMH,Semiconductors,Expanded Addition,-2.0,1,180,0.47,0.13,0.35,57.78,10.22,-10.56,2.27,-1.98,0.176
2020-2024,SLV,Commodities,Expanded Addition,-2.5,5,93,0.92,0.29,0.63,61.29,23.53,-22.57,4.0,-3.95,0.16
2020-2024,SMH,Semiconductors,Expanded Addition,-2.5,1,136,0.47,0.13,0.35,59.56,10.22,-10.56,2.29,-2.21,0.156
2020-2024,XLP,Sector,Expanded Addition,-2.0,5,25,0.86,0.17,0.69,68.0,14.33,-10.35,3.41,-4.55,0.152
2020-2024,XLK,Sector,Core,-2.0,1,114,0.35,0.09,0.26,58.77,11.73,-9.76,1.78,-1.7,0.151
2020-2024,XLK,Sector,Core,-1.5,1,175,0.36,0.09,0.27,61.71,11.73,-9.76,1.7,-1.79,0.15
2020-2024,GLD,Commodities,Expanded Addition,-1.0,5,139,0.47,0.22,0.24,61.15,11.01,-7.07,1.9,-1.8,0.135
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.5,1,268,0.37,0.1,0.26,56.34,10.73,-10.96,2.19,-1.98,0.132
2020-2024,XLK,Sector,Core,-1.5,3,175,0.6,0.27,0.33,57.14,10.45,-13.1,2.96,-2.55,0.128
2020-2024,QQQ,Broad Index,Core,-2.0,1,105,0.26,0.08,0.18,56.19,8.47,-9.17,1.57,-1.41,0.127
2020-2024,QQQ,Broad Index,Core,-1.5,1,158,0.26,0.08,0.18,57.59,8.47,-9.17,1.53,-1.46,0.123
2020-2024,XLK,Sector,Core,-1.5,5,175,0.87,0.45,0.42,60.0,11.29,-17.04,3.72,-3.41,0.122
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.0,1,190,0.36,0.1,0.25,57.37,10.73,-10.96,2.2,-2.11,0.12
2020-2024,XLU,Sector,Expanded Addition,-1.0,1,223,0.2,0.04,0.16,55.61,12.79,-10.09,1.44,-1.36,0.119
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.0,1,352,0.32,0.1,0.22,55.68,10.73,-10.96,2.08,-1.89,0.115
2020-2024,DIA,Broad Index,Core,-1.0,5,153,0.54,0.24,0.3,60.13,19.86,-18.87,2.76,-2.82,0.108
2020-2024,XLP,Sector,Expanded Addition,-1.0,5,122,0.42,0.17,0.25,59.02,14.33,-15.9,2.27,-2.31,0.107
2020-2024,SMH,Semiconductors,Expanded Addition,-1.5,1,259,0.33,0.13,0.2,55.21,10.22,-10.56,2.13,-1.9,0.105
2020-2024,IGV,Software,Expanded Addition,-2.5,5,104,0.83,0.38,0.44,59.62,12.43,-19.0,4.27,-4.26,0.104
2020-2024,XLK,Sector,Core,-1.0,1,267,0.25,0.09,0.16,57.68,11.73,-9.76,1.56,-1.54,0.103
2020-2024,QQQ,Broad Index,Core,-1.5,3,158,0.5,0.25,0.25,59.49,8.4,-13.28,2.65,-2.65,0.095
2020-2024,SLV,Commodities,Expanded Addition,-2.0,5,141,0.66,0.29,0.37,59.57,23.53,-22.57,3.73,-3.86,0.095
2020-2024,XLU,Sector,Expanded Addition,-2.5,1,37,0.36,0.04,0.32,62.16,12.79,-10.09,2.73,-3.55,0.09
2020-2024,IGV,Software,Expanded Addition,-1.5,5,200,0.72,0.38,0.33,56.5,12.43,-19.0,4.15,-3.79,0.088
2020-2024,DIA,Broad Index,Core,-1.0,3,153,0.33,0.14,0.19,57.52,20.92,-14.14,2.25,-2.28,0.082
2020-2024,DIA,Broad Index,Core,-1.5,5,81,0.53,0.24,0.3,58.02,19.86,-18.87,3.54,-3.64,0.081
2020-2024,XLV,Sector,Core,-2.0,5,36,0.57,0.18,0.38,61.11,19.23,-13.2,3.94,-4.73,0.081
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.5,5,268,0.84,0.51,0.32,58.21,14.9,-19.88,4.31,-4.04,0.08
2020-2024,IGV,Software,Expanded Addition,-2.0,5,146,0.7,0.38,0.31,57.53,12.43,-19.0,4.19,-4.03,0.078
2020-2024,IWM,Broad Index,Core,-1.0,5,281,0.47,0.22,0.25,55.87,15.6,-24.0,3.45,-3.32,0.077
2020-2024,SOXX,Semiconductors,Expanded Addition,-1.0,5,352,0.81,0.51,0.29,57.39,16.69,-19.88,4.23,-3.84,0.077
2020-2024,XLU,Sector,Expanded Addition,-2.5,3,37,0.48,0.11,0.37,56.76,23.26,-17.72,4.44,-4.73,0.077
2020-2024,XLK,Sector,Core,-1.0,5,267,0.69,0.45,0.24,58.05,11.29,-17.04,3.47,-3.22,0.074
2020-2024,SMH,Semiconductors,Expanded Addition,-1.0,5,348,0.91,0.62,0.29,59.48,16.89,-19.23,4.14,-3.95,0.073
2020-2024,XLP,Sector,Expanded Addition,-1.5,1,60,0.15,0.03,0.12,55.0,8.51,-9.4,1.64,-1.67,0.072
2020-2024,SLV,Commodities,Expanded Addition,-3.0,3,63,0.43,0.17,0.26,60.32,11.44,-18.74,3.06,-3.57,0.072
2020-2024,XLK,Sector,Core,-1.0,3,267,0.44,0.27,0.17,55.81,10.45,-13.1,2.71,-2.48,0.067
2020-2024,XLV,Sector,Core,-1.5,5,70,0.39,0.18,0.21,60.0,19.23,-13.2,2.79,-3.21,0.064
2020-2024,XLU,Sector,Expanded Addition,-1.5,1,118,0.15,0.04,0.11,56.78,12.79,-10.09,1.58,-1.74,0.063
2020-2024,IGV,Software,Expanded Addition,-1.0,5,283,0.6,0.38,0.21,56.18,12.43,-19.0,3.73,-3.49,0.062
2020-2024,XLP,Sector,Expanded Addition,-1.0,3,122,0.23,0.1,0.13,60.66,10.55,-12.27,1.74,-2.14,0.061
2020-2024,XLP,Sector,Expanded Addition,-1.5,5,60,0.37,0.17,0.2,60.0,14.33,-15.9,2.89,-3.4,0.06
2020-2024,QQQ,Broad Index,Core,-1.5,5,158,0.62,0.42,0.2,58.23,10.17,-16.2,3.56,-3.47,0.059
2020-2024,GLD,Commodities,Expanded Addition,-1.0,3,139,0.21,0.14,0.08,56.83,11.13,-7.25,1.48,-1.45,0.055
2020-2024,XLB,Sector,Expanded Addition,-1.5,5,131,0.44,0.23,0.21,58.02,19.09,-20.92,3.49,-3.77,0.055
2020-2024,SMH,Semiconductors,Expanded Addition,-1.5,5,259,0.81,0.62,0.19,59.85,13.96,-19.23,4.26,-4.38,0.044
2020-2024,XLF,Sector,Core,-3.0,1,32,0.22,0.06,0.16,56.25,13.16,-10.81,3.4,-3.87,0.042
2020-2024,IGV,Software,Expanded Addition,-3.0,5,69,0.57,0.38,0.18,57.97,12.43,-12.27,4.15,-4.38,0.042
2020-2024,XLY,Sector,Expanded Addition,-1.5,1,176,0.13,0.06,0.07,55.11,8.32,-10.11,1.54,-1.6,0.041
2020-2024,QQQ,Broad Index,Core,-1.0,5,247,0.53,0.42,0.12,58.3,10.72,-16.2,3.16,-3.21,0.036
2020-2024,QQQ,Broad Index,Core,-2.0,5,105,0.55,0.42,0.13,59.05,10.02,-16.2,3.44,-3.62,0.036
2020-2024,QQQ,Broad Index,Core,-1.0,3,247,0.34,0.25,0.09,55.47,9.38,-13.28,2.52,-2.43,0.036
2020-2024,XLV,Sector,Core,-1.0,5,150,0.28,0.18,0.09,58.0,19.23,-13.2,2.29,-2.56,0.036
2020-2024,XLK,Sector,Core,-2.0,3,114,0.38,0.27,0.11,59.65,9.35,-13.1,2.77,-3.15,0.035
2020-2024,SMH,Semiconductors,Expanded Addition,-2.0,5,180,0.78,0.62,0.16,60.0,13.96,-19.23,4.47,-4.75,0.034
2020-2024,XLU,Sector,Expanded Addition,-2.0,1,65,0.11,0.04,0.07,56.92,12.79,-10.09,1.99,-2.38,0.031
2020-2024,QQQ,Broad Index,Core,-2.0,3,105,0.34,0.25,0.09,57.14,8.4,-13.28,2.75,-2.88,0.03
2020-2024,IGV,Software,Expanded Addition,-3.0,1,69,0.16,0.08,0.08,62.32,9.77,-9.33,1.87,-2.67,0.03
2020-2024,IGV,Software,Expanded Addition,-1.0,3,283,0.32,0.23,0.09,55.83,10.5,-12.18,2.76,-2.83,0.03
2020-2024,XLU,Sector,Expanded Addition,-1.0,5,223,0.26,0.18,0.07,57.4,28.51,-19.45,2.76,-3.12,0.024
2020-2024,SPY,Broad Index,Core,-1.0,5,174,0.39,0.31,0.08,57.47,17.36,-17.97,2.97,-3.21,0.024
2020-2024,XLE,Sector,Core,-2.5,3,110,0.32,0.21,0.11,59.09,28.94,-21.05,3.93,-4.9,0.021
2020-2024,XLI,Sector,Expanded Addition,-1.5,5,109,0.35,0.27,0.07,55.05,22.51,-20.13,3.63,-3.67,0.02
2020-2024,XLB,Sector,Expanded Addition,-1.5,3,131,0.19,0.14,0.05,57.25,19.74,-13.93,2.87,-3.4,0.016
2020-2024,IGV,Software,Expanded Addition,-1.5,3,200,0.28,0.23,0.05,55.0,10.5,-12.18,2.88,-2.94,0.015
2020-2024,XLE,Sector,Core,-3.0,1,75,0.12,0.07,0.05,56.0,16.04,-20.14,2.68,-3.14,0.015
2020-2024,SPY,Broad Index,Core,-1.0,3,174,0.22,0.18,0.04,56.9,17.16,-12.58,2.29,-2.59,0.014
2020-2024,XLF,Sector,Core,-1.0,5,226,0.33,0.28,0.05,56.64,21.23,-22.99,3.2,-3.42,0.014
2020-2024,IGV,Software,Expanded Addition,-2.0,1,146,0.1,0.08,0.03,58.22,9.77,-9.33,1.75,-2.19,0.012
2020-2024,IWM,Broad Index,Core,-1.5,5,173,0.26,0.22,0.05,56.07,15.05,-24.0,3.54,-3.92,0.012
2020-2024,SOXX,Semiconductors,Expanded Addition,-2.0,5,190,0.56,0.51,0.04,56.84,14.9,-19.88,4.43,-4.55,0.01
2020-2024,SPY,Broad Index,Core,-1.5,3,96,0.2,0.18,0.02,58.33,17.16,-12.58,2.45,-2.94,0.006
2020-2024,IGV,Software,Expanded Addition,-2.5,1,104,0.09,0.08,0.01,59.62,9.77,-9.33,1.71,-2.3,0.005
2020-2024,IGV,Software,Expanded Addition,-1.0,1,283,0.08,0.08,0.01,56.18,9.77,-9.33,1.59,-1.85,0.003
